id,created_at,text,retweet_count
1121178303241625601,2019-04-24 22:25:12,"Your #LimeScooter is racist... mate.

https://t.co/MAiY8ry6n3 (by @peterjholley)",0
1121099039204790272,2019-04-24 17:10:14,Fairly certain the corner of 14th and Wall Avenue isn’t the best place to debut these new scooters in #Ogden… https://t.co/8T30GKpwJH,1
1121075612536442881,2019-04-24 15:37:09,"RT @ExarcheiaT: To Do List: 

""you look like an idiot"" over and over. 
#limescooter
#tourism
#athens

https://t.co/l44uOIKlqo",2
1120998795725221888,2019-04-24 10:31:54,"To Do List: 

""you look like an idiot"" over and over. 
#limescooter
#tourism
#athens

https://t.co/l44uOIKlqo",2
