id,created_at,text
1122160812846612481,2019-04-27 15:29:21,Single wheel chopper Hot sale unicycle motorcycle one wheel electric scooter 1000W brushless engine… https://t.co/Qvr8QtDGJw
1122160772266610688,2019-04-27 15:29:11,@Wuhu_Danslam @NinWire @dragonfruitcup buy me one boo
1122160756550717442,2019-04-27 15:29:07,Single wheel chopper Hot sale unicycle motorcycle one wheel electric scooter 1000W brushless engine… https://t.co/61gCPQtN31
1122160751656013824,2019-04-27 15:29:06,"RT @thepamilerin: I asked my neighbors children what I should get for them on my way back from work, and they said Scooter 😡 All these Rich…"
1122160727190593538,2019-04-27 15:29:00,Single wheel chopper Hot sale unicycle motorcycle one wheel electric scooter 1000W brushless engine… https://t.co/0WvjJ3r3dU
1122160675739062272,2019-04-27 15:28:48,Single wheel chopper Hot sale unicycle motorcycle one wheel electric scooter 1000W brushless engine… https://t.co/HuQMDw3wd7
1122160639730958336,2019-04-27 15:28:39,Single wheel chopper Hot sale unicycle motorcycle one wheel electric scooter 1000W brushless engine… https://t.co/smgakXON1c
1122160576627662849,2019-04-27 15:28:24,I could be 50 yrs old and I’ll still be saying fuck the scooter kids at the skate park
1122160417189572615,2019-04-27 15:27:46,RT @ButeraDemetria: Demi when she sees all the choreography Scooter has lined up for her to do on tour https://t.co/BfYQZHXEcJ
1122160410327683075,2019-04-27 15:27:45,"Faster, Deeper Scooter!!!"
1122160147730718726,2019-04-27 15:26:42,"im sorry phil was awful but scooter is not much better, he profits off using artists to the point of them going off… https://t.co/hudsLm95iI"
1122160146698919937,2019-04-27 15:26:42,"@TonyNeedham I'll give you a shout, want to take my scooter over."
1122160119263838208,2019-04-27 15:26:35,"RT @born2impress: Ad: Spring is here and to make it even more fun, here is your chance to #win a @RazorWorldwide E Prime Electric scooter!…"
1122160032387194880,2019-04-27 15:26:15,From seizing scooters on its streets and fining their providers to undertaking a full pilot with five scooter compa… https://t.co/aF1nrml03D
1122159944566886402,2019-04-27 15:25:54,"RT @1davidj_: I got sky sands wheelie scooter world record! (1'51""73 -&gt; 1'51""25) I plan to try to beat this further, to sub-1'49""87 (rocket…"
1122159900099055617,2019-04-27 15:25:43,"RT @Rowlfg: Les islamopithèques sont partout, ça se passe à #Auxonne, 7700 habitants, deux racailles en scooter percutent un passant, qui s…"
1122159822747643904,2019-04-27 15:25:25,RT @Y2SHAF: i'd rather take a razor scooter to the ankle than stand up and tell a room full of people a little bit about myself
1122159821111930880,2019-04-27 15:25:24,RT @witch_pie: Absolute baby slept on my chest last night and I don’t think I’ll ever know true peace like that again thank u Scooter https…
1122159719991345152,2019-04-27 15:25:00,"RT @limebike: Lime launches electric scooter reservation feature in three cities via @slashgear #limelife

https://t.co/AbX6j3AbAI"
1122159649711624193,2019-04-27 15:24:43,"@PanthersBryan Did @PanthersBill ride a Bird or a Lime Scooter to go do this piece, thats what we want to know"
1122159639477592065,2019-04-27 15:24:41,RT @Y2SHAF: i'd rather take a razor scooter to the ankle than stand up and tell a room full of people a little bit about myself
1122159605918969856,2019-04-27 15:24:33,@Martina @Scooter_PSU She’s no victim.  She’s a willing co-conspirator.  And she really doesn’t care.
1122159517435924480,2019-04-27 15:24:12,"@lovatolorde o scooter administra a tori kelly que é bem menos conhecida, esse povo só fala bosta"
