id,created_at,text,retweet_count
1121051090018033665,2019-04-24 13:59:42,@thatjayjustice @artfullyarti When I had to choose I got a traditional mobility scooter (my brake is fully electron… https://t.co/eLLEiGQHtz,0
1121047012852416514,2019-04-24 13:43:30,Hey @C4EAsh @C4ETech Will You Review This Electronic Scooter? https://t.co/rNWsKl5zZL,0
1120973793063686146,2019-04-24 08:52:33,Vespa Electronic Flywheel 12 Volt 19mm Cone V50 - 90 PV ET3 PK S Scooter ECs https://t.co/eg8eVSxVmA https://t.co/C6vwS4SYEB,0
